Código CNAE;Ordem;Seção;ClasseCNAE;Descrição da Atividade;situacao
1113;1;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.11-3;Cultivo de cereais;0
1121;2;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.12-1;Cultivo de algodão herbáceo e de outras fibras de lavoura temporária;0
1130;3;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.13-0;Cultivo de cana-de-açúcar;0
1148;4;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.14-8;Cultivo de fumo;0
1156;5;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.15-6;Cultivo de soja;0
1164;6;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.16-4;Cultivo de oleaginosas de lavoura temporária, exceto soja;0
1199;7;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.19-9;Cultivo de plantas de lavoura temporária não especificadas anteriormente;0
1211;8;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.21-1;Horticultura;0
1229;9;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.22-9;Cultivo de flores e plantas ornamentais;0
1318;10;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.31-8;Cultivo de laranja;0
1326;11;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.32-6;Cultivo de uva;0
1334;12;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.33-4;Cultivo de frutas de lavoura permanente, exceto laranja e uva;0
1342;13;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.34-2;Cultivo de café;0
1351;14;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.35-1;Cultivo de cacau;0
1393;15;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.39-3;Cultivo de plantas de lavoura permanente não especificadas anteriormente;0
1415;16;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.41-5;Produção de sementes certificadas;0
1423;17;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.42-3;Produção de mudas e outras formas de propagação vegetal, certificadas;1
1512;18;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.51-2;Criação de bovinos;0
1521;19;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.52-1;Criação de outros animais de grande porte;0
1539;20;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.53-9;Criação de caprinos e ovinos;0
1547;21;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.54-7;Criação de suínos;0
1555;22;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.55-5;Criação de aves;0
1598;23;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.59-8;Criação de animais não especificados anteriormente;0
1610;24;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.61-0;Atividades de apoio à agricultura;0
1628;25;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.62-8;Atividades de apoio à pecuária;0
1636;26;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.63-6;Atividades de pós-colheita;0
1709;27;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;01.70-9;Caça e serviços relacionados;0
2101;28;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;02.10-1;Produção florestal - florestas plantadas;1
2209;29;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;02.20-9;Produção florestal - florestas nativas;0
2306;30;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;02.30-6;Atividades de apoio à produção florestal;0
3116;31;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;03.11-6;Pesca em água salgada;0
3124;32;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;03.12-4;Pesca em água doce;0
3213;33;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;03.21-3;Aqüicultura em água salgada e salobra;0
3221;34;Seção A - Agricultura, pecuária, produção florestal, pesca e aqüicultura;03.22-1;Aqüicultura em água doce;0
5003;35;Seção B - Indústrias extrativas;05.00-3;Extração de carvão mineral;0
6000;36;Seção B - Indústrias extrativas;06.00-0;Extração de petróleo e gás natural;0
7103;37;Seção B - Indústrias extrativas;07.10-3;Extração de minério de ferro;0
7219;38;Seção B - Indústrias extrativas;07.21-9;Extração de minério de alumínio;0
7227;39;Seção B - Indústrias extrativas;07.22-7;Extração de minério de estanho;0
7235;40;Seção B - Indústrias extrativas;07.23-5;Extração de minério de manganês;0
7243;41;Seção B - Indústrias extrativas;07.24-3;Extração de minério de metais preciosos;0
7251;42;Seção B - Indústrias extrativas;07.25-1;Extração de minerais radioativos;0
7294;43;Seção B - Indústrias extrativas;07.29-4;Extração de minerais metálicos não-ferrosos não especificados anteriormente;0
